a_columns,b_columns,confidence,match_type,reasoning
assigned_agent_id,agent_id,0.95,one_to_one,"Same semantic meaning (support agent foreign key), identical data type and sample values, only naming convention differs."
created_timestamp,created_date; created_time,0.8,one_to_many,System A stores timestamp as single column while System B splits into separate date and time columns; semantic equivalence but different granularity.
resolution_time_hours,resolution_time_minutes,0.85,one_to_one,"Same semantic meaning (time to resolve), identical data type, but unit differs (hours vs minutes); sample values consistent with conversion (31.75 hours = 1905 minutes)."
customer_satisfaction_score,csat_value,0.95,one_to_one,"Same semantic meaning (post-resolution satisfaction rating), identical data type and sample values, only naming convention differs."
campaign_id,campaign_id,1,one_to_one,"Exact match on column name, data type, description, and sample values for campaign unique identifier."
campaign_name,campaign_nm,0.95,one_to_one,"Same semantic meaning (campaign display name), identical data type and sample values, only naming convention differs."
campaign_start_date,start_year; start_month,0.7,one_to_many,"System A stores full date while System B splits into year and month components; semantic overlap but different granularity, day information lost."
campaign_budget_usd,campaign_budget_eur,0.85,one_to_one,"Same semantic meaning (campaign budget), identical data type, but currency differs (USD vs EUR); likely currency conversion applied."
click_through_rate,ctr_percentage,0.85,one_to_one,"Same semantic meaning (clicks to impressions ratio), identical data type, but unit differs (decimal ratio vs percentage); sample values consistent with conversion (0.0276 = 2.76%)."
target_audience_segment,audience_cohort,0.9,one_to_one,"Same semantic meaning (target audience group), identical data type and sample values, terminology differs slightly."
